#Classification,HK1-1,HK1-2,HK1-3,HK1-4,HK1-5,HK2-1,HK2-2,HK2-3,HK2-4,HK2-5,HK3-1,HK3-2,HK3-3,HK3-4,HK3-5
d__Bacteria|p__Thermotogota|c__Thermotogae|o__Petrotogales|f__Petrotogaceae|g__Marinitoga|s__Marinitoga_sp._BP5-C20A,9.21465E-06,1.45411E-05,7.52559E-06,7.69299E-06,5.50304E-06,6.34368E-06,8.95289E-06,5.69829E-06,2.91263E-06,8.85201E-06,1.26049E-05,9.41596E-06,1.56593E-05,6.87501E-06,8.01841E-06
d__Bacteria|p__Thermotogota|c__Thermotogae|o__Thermotogales|f__Thermotogaceae|g__Pseudothermotoga|s__Pseudothermotoga_thermarum,2.38898E-06,3.55448E-06,1.73667E-06,2.2794E-06,2.50138E-06,1.69165E-06,3.2556E-06,1.89943E-06,0,0,6.87541E-06,6.64656E-06,7.82965E-06,2.37981E-06,2.94009E-06
d__Bacteria|p__Thermotogota|c__Thermotogae|o__Thermotogales|f__Thermotogaceae|g__Pseudothermotoga|s__Pseudothermotoga_hypogea,4.0954E-06,2.58508E-06,2.02612E-06,3.13418E-06,4.00221E-06,2.96039E-06,3.66255E-06,2.84914E-06,0,4.05717E-06,0,0,0,2.64424E-06,0
d__Bacteria|p__Thermotogota|c__Thermotogae|o__Thermotogales|f__Thermotogaceae|g__Thermotoga|s__Thermotoga_sp._2812B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d__Bacteria|p__Thermotogota|c__Thermotogae|o__Thermotogales|f__Thermotogaceae|g__Thermotoga|s__Thermotoga_petrophila,0,0,0,0,0,4.65204E-06,0,6.41058E-06,0,0,0,0,0,0,0
d__Bacteria|p__Thermotogota|c__Thermotogae|o__Thermotogales|f__Thermotogaceae|g__Thermotoga|s__Thermotoga_profunda,3.75412E-06,3.55448E-06,4.34169E-06,1.42463E-06,5.00277E-06,3.17184E-06,1.6278E-06,3.324E-06,2.91263E-06,3.68834E-06,4.58361E-06,7.20044E-06,2.7963E-06,4.23078E-06,2.6728E-06
d__Bacteria|p__Thermotogota|c__Thermotogae|o__Thermotogales|f__Thermotogaceae|g__Thermotoga|s__Thermotoga_caldifontis,1.29688E-05,8.72464E-06,6.07836E-06,6.26836E-06,1.02557E-05,4.44058E-06,8.13899E-06,4.986E-06,5.82525E-06,7.37667E-06,8.02131E-06,5.5388E-06,7.82965E-06,8.72598E-06,1.06912E-05
d__Bacteria|p__Thermotogota|c__Thermotogae|o__Thermotogales|f__Fervidobacteriaceae|g__Fervidobacterium|s__Fervidobacterium_nodosum,2.38898E-06,6.13956E-06,3.1839E-06,1.42463E-06,4.00221E-06,2.74893E-06,5.6973E-06,4.51115E-06,0,2.58183E-06,5.72951E-06,5.5388E-06,4.47409E-06,1.85097E-06,1.87096E-06
d__Bacteria|p__Thermotogota|c__Thermotogae|o__Thermotogales|f__Fervidobacteriaceae|g__Fervidobacterium|s__Fervidobacterium_pennivorans,3.75412E-06,7.75524E-06,5.21002E-06,5.69851E-06,6.25346E-06,4.86349E-06,3.2556E-06,3.324E-06,0,4.426E-06,7.63935E-06,3.32328E-06,1.23037E-05,6.87501E-06,2.13824E-06
d__Bacteria|p__Thermotogota|c__Thermotogae|o__Thermotogales|f__Fervidobacteriaceae|g__Thermosipho|s__Thermosipho_africanus,6.1431E-06,8.72464E-06,5.78892E-06,5.41358E-06,9.25512E-06,4.86349E-06,6.91815E-06,5.46086E-06,3.23625E-06,6.639E-06,1.1459E-05,1.44009E-05,2.12519E-05,3.43751E-06,8.01841E-06
d__Bacteria|p__Thermotogota|c__Thermotogae|o__Thermotogales|f__Fervidobacteriaceae|g__Thermosipho|s__Thermosipho_melanesiensis,7.84951E-06,1.6803E-05,8.39393E-06,3.98896E-06,9.50525E-06,7.40097E-06,1.05807E-05,4.51115E-06,0,5.5325E-06,1.37508E-05,8.3082E-06,0,1.05769E-05,8.2857E-06
d__Bacteria|p__Thermotogota|c__Thermotogae|o__Thermotogales|f__Fervidobacteriaceae|g__Thermosipho|s__Thermosipho_ferrireducens,6.1431E-06,3.23135E-06,3.7628E-06,2.84925E-06,1.50083E-06,1.90311E-06,2.4417E-06,2.84914E-06,1.94175E-06,5.16367E-06,3.05574E-06,4.43104E-06,5.03335E-06,3.70193E-06,2.40552E-06
d__Bacteria|p__Synergistota|c__Synergistia|o__Synergistales|f__Thermovirgaceae|g__Thermovirga|s__Thermovirga_lienii,2.38898E-06,2.58508E-06,2.60501E-06,1.99448E-06,2.25124E-06,1.26874E-06,0,3.324E-06,1.94175E-06,3.68834E-06,3.43771E-06,0,0,0,1.87096E-06
d__Bacteria|p__Synergistota|c__Synergistia|o__Synergistales|f__Acetomicrobiaceae|g__Acetomicrobium|s__Acetomicrobium_mobile,3.75412E-06,1.93881E-06,1.73667E-06,1.1397E-06,1.50083E-06,0,2.84865E-06,1.89943E-06,0,0,3.81967E-06,0,4.47409E-06,1.58654E-06,1.06912E-06
d__Bacteria|p__Synergistota|c__Synergistia|o__Synergistales|f__Aminithiophilaceae|g__Aminithiophilus|s__Aminithiophilus_ramosus,2.01357E-05,1.55105E-05,1.18673E-05,1.5101E-05,1.75097E-05,1.69165E-05,1.13946E-05,1.61452E-05,1.8123E-05,1.80728E-05,1.90984E-05,1.16315E-05,8.38891E-06,1.48077E-05,1.92442E-05
d__Bacteria|p__Synergistota|c__Synergistia|o__Synergistales|f__Aminobacteriaceae|g__Aminobacterium|s__Aminobacterium_colombiense,2.0477E-06,1.93881E-06,0,0,2.00111E-06,1.05728E-06,2.4417E-06,1.662E-06,2.589E-06,2.213E-06,1.52787E-06,0,2.23704E-06,0,1.87096E-06
d__Bacteria|p__Synergistota|c__Synergistia|o__Synergistales|f__Aminobacteriaceae|g__Aminobacterium|s__Aminobacterium_sp._MB27-C1,4.43668E-06,3.87762E-06,3.47335E-06,2.84925E-06,2.50138E-06,2.32602E-06,2.4417E-06,3.324E-06,1.2945E-06,4.05717E-06,1.52787E-06,0,0,0,2.6728E-06
d__Bacteria|p__Synergistota|c__Synergistia|o__Synergistales|f__Aminobacteriaceae|g__Fretibacterium|s__Fretibacterium_fastidiosum,1.46752E-05,1.42179E-05,1.24462E-05,1.1397E-05,9.50525E-06,1.07843E-05,1.22085E-05,1.18714E-05,9.38513E-06,1.06962E-05,1.1841E-05,7.20044E-06,1.00667E-05,7.93271E-06,9.08754E-06
