Classification,Water,WT,dagr,Phylum,color
Nitrosophilus_labii,3.31443E-06,2.90104E-06,4.00259E-06,nosig,#EAEAEA
Nitrosophilus_alvini,2.26568E-06,1.67917E-06,2.72332E-06,nosig,#EAEAEA
Nitrosophilus_kaiyonis,3.23145E-06,3.06107E-06,4.99712E-06,nosig,#EAEAEA
Hydrogenimonas_urashimensis,5.74399E-06,4.74309E-06,5.85373E-06,nosig,#EAEAEA
Hydrogenimonas_sp__ISO32,9.28548E-06,9.25288E-06,1.04268E-05,nosig,#EAEAEA
Sulfurospirillum_sp__UCH001,1.4009E-06,1.69412E-06,2.56824E-06,nosig,#EAEAEA
Sulfurospirillum_barnesii,1.99794E-06,8.33054E-07,1.79124E-06,nosig,#EAEAEA
Sulfurospirillum_halorespirans,4.18344E-06,2.67559E-06,4.45992E-06,nosig,#EAEAEA
Sulfurospirillum_multivorans,4.22847E-06,2.56675E-06,3.90949E-06,nosig,#EAEAEA
Sulfurospirillum_deleyianum,2.41808E-06,9.08158E-07,2.54073E-06,nosig,#EAEAEA
Sulfurospirillum_cavolei,4.46181E-06,3.09909E-06,3.20305E-06,nosig,#EAEAEA
Sulfurospirillum_diekertiae,5.59081E-06,5.79873E-06,4.71261E-06,nosig,#EAEAEA
Sulfurovum_indicum,2.68259E-06,2.21956E-06,2.20235E-06,nosig,#EAEAEA
Sulfurovum_lithotrophicum,2.91658E-06,1.36611E-06,2.78431E-06,nosig,#EAEAEA
Sulfuricurvum_kujiense,3.24488E-06,3.17745E-06,3.55878E-06,nosig,#EAEAEA
Sulfurimonas_sediminis,5.6985E-07,4.65204E-07,1.83321E-06,nosig,#EAEAEA
Sulfurimonas_paralvinellae,7.4018E-07,1.69165E-07,3.05574E-07,nosig,#EAEAEA
Sulfurimonas_hydrogeniphila,2.16671E-06,1.78908E-06,1.23379E-06,nosig,#EAEAEA
Sulfurimonas_denitrificans,3.47441E-06,3.02418E-06,4.62125E-06,nosig,#EAEAEA
Sulfurimonas_gotlandica,3.80468E-06,2.5875E-06,3.80431E-06,nosig,#EAEAEA
Candidatus_Sulfurimonas_baltica,3.28046E-06,2.56852E-06,2.35682E-06,nosig,#EAEAEA
Sulfurimonas_autotrophica,4.51964E-06,2.90066E-06,5.19811E-06,nosig,#EAEAEA
Sulfurimonas_aquatica,3.92403E-06,2.70859E-06,4.90785E-06,nosig,#EAEAEA
Sulfurimonas_lithotrophica,4.62236E-06,3.02099E-06,4.8479E-06,nosig,#EAEAEA
Wolinella_succinogenes,3.49157E-06,2.81576E-06,5.25257E-06,nosig,#EAEAEA
Helicobacter_mustelae,1.08302E-06,0,6.69898E-07,nosig,#EAEAEA
Helicobacter_bizzozeronii,9.62134E-07,1.07964E-06,5.34754E-07,nosig,#EAEAEA
Helicobacter_hepaticus,1.2657E-06,1.39605E-06,1.81839E-06,nosig,#EAEAEA
Helicobacter_suis,7.10896E-07,1.3157E-06,1.46655E-06,nosig,#EAEAEA
Helicobacter_enhydrae,1.50068E-06,1.25257E-06,1.97514E-06,nosig,#EAEAEA
Helicobacter_bilis,2.89386E-06,1.6432E-06,2.82537E-06,nosig,#EAEAEA
Helicobacter_canis,1.61689E-06,2.27082E-06,1.00485E-06,nosig,#EAEAEA
Helicobacter_apodemus,3.4011E-06,3.36059E-06,4.30385E-06,nosig,#EAEAEA
Helicobacter_heilmannii,1.65041E-06,6.38828E-07,3.05574E-07,nosig,#EAEAEA
Helicobacter_himalayensis,1.17298E-06,1.47693E-06,8.13298E-07,nosig,#EAEAEA
Helicobacter_winghamensis,2.62132E-06,9.9629E-07,2.30935E-06,nosig,#EAEAEA
Helicobacter_pullorum,3.99811E-06,1.4241E-06,3.88719E-06,nosig,#EAEAEA
Helicobacter_sp__NHP21005,1.81805E-06,6.65536E-07,1.14347E-06,nosig,#EAEAEA
Helicobacter_cinaedi,5.76506E-06,4.25233E-06,5.62978E-06,nosig,#EAEAEA
Poseidonibacter_parvus,6.43501E-06,3.78891E-06,8.66622E-06,nosig,#EAEAEA
Poseidonibacter_lekithochrous,5.04405E-06,5.24348E-06,7.35657E-06,nosig,#EAEAEA
Halarcobacter_bivalviorum,3.49828E-06,3.69075E-06,4.25404E-06,nosig,#EAEAEA
Halarcobacter_anaerophilus,4.0883E-06,2.66113E-06,3.62198E-06,nosig,#EAEAEA
Malaciobacter_pacificus,3.94637E-06,2.93509E-06,3.0659E-06,nosig,#EAEAEA
Malaciobacter_marinus,5.96518E-06,5.29472E-06,6.87919E-06,nosig,#EAEAEA
Malaciobacter_canalis,7.50578E-06,7.91597E-06,9.37519E-06,nosig,#EAEAEA
Malaciobacter_halophilus,5.03928E-06,3.48151E-06,4.676E-06,nosig,#EAEAEA
Arcobacter_peruensis,4.45495E-06,4.5008E-06,3.62553E-06,nosig,#EAEAEA
Arcobacter_aquimarinus,4.59298E-06,3.42816E-06,3.90184E-06,nosig,#EAEAEA
Arcobacter_porcinus,4.9214E-06,3.9147E-06,5.00749E-06,nosig,#EAEAEA
Arcobacter_cloacae,4.22794E-06,4.47446E-06,5.33952E-06,nosig,#EAEAEA
Arcobacter_suis,4.12342E-06,3.73998E-06,4.57023E-06,nosig,#EAEAEA
Arcobacter_venerupis,3.81749E-06,3.79193E-06,4.72427E-06,nosig,#EAEAEA
Arcobacter_nitrofigilis,8.25405E-06,7.23894E-06,8.6501E-06,nosig,#EAEAEA
Arcobacter_sp__L,1.3147E-06,5.92078E-07,3.86413E-06,nosig,#EAEAEA
Arcobacter_sp__FWKO_B,2.8099E-06,2.96399E-06,4.57193E-06,nosig,#EAEAEA
Arcobacter_acticola,7.98905E-06,7.82805E-06,9.22377E-06,nosig,#EAEAEA
Aliarcobacter_trophiarum,3.18172E-06,1.19379E-06,2.61326E-06,nosig,#EAEAEA
Aliarcobacter_faecis,4.23207E-06,3.00436E-06,3.43978E-06,nosig,#EAEAEA
Aliarcobacter_skirrowii,6.15602E-06,6.00462E-06,6.35638E-06,nosig,#EAEAEA
Campylobacter_sp__RM16187,6.99062E-07,9.69938E-07,1.14328E-06,nosig,#EAEAEA
Campylobacter_ornithocola,2.89446E-07,9.64346E-07,3.20736E-07,nosig,#EAEAEA
Campylobacter_peloridis,7.37956E-07,1.00223E-06,3.05574E-07,nosig,#EAEAEA
Campylobacter_sp__RM8964,9.67264E-07,6.53748E-07,0,nosig,#EAEAEA
Campylobacter_sp__CS_NA3,8.51284E-07,9.60912E-07,1.38658E-06,nosig,#EAEAEA
Campylobacter_sp__RM10537,1.30153E-06,9.8471E-07,2.09145E-06,nosig,#EAEAEA
Campylobacter_lanienae,1.12564E-06,1.2693E-06,5.19398E-07,nosig,#EAEAEA
Campylobacter_hominis,2.67579E-06,1.45592E-06,1.91042E-06,nosig,#EAEAEA
Campylobacter_subantarcticus,1.42337E-06,1.09807E-06,1.20308E-06,nosig,#EAEAEA
Campylobacter_canadensis,2.12224E-06,2.11701E-06,2.30955E-06,nosig,#EAEAEA
Campylobacter_gracilis,2.70194E-06,2.84963E-06,2.72242E-06,nosig,#EAEAEA
Campylobacter_mucosalis,2.48466E-06,1.11864E-06,2.92379E-06,nosig,#EAEAEA
Campylobacter_helveticus,2.00339E-06,1.65192E-06,7.73084E-07,nosig,#EAEAEA
Campylobacter_blaseri,0.000002967,2.30734E-06,3.34749E-06,nosig,#EAEAEA
Campylobacter_cuniculorum,3.52359E-06,2.36932E-06,1.59645E-06,nosig,#EAEAEA
Campylobacter_curvus,3.90471E-06,3.50634E-06,3.56342E-06,nosig,#EAEAEA
Campylobacter_geochelonis,2.89884E-06,1.61127E-06,2.82863E-06,nosig,#EAEAEA
Campylobacter_armoricus,3.69474E-06,1.58342E-06,2.89042E-06,nosig,#EAEAEA
Campylobacter_novaezeelandiae,3.85071E-06,2.3903E-06,3.00972E-06,nosig,#EAEAEA
Campylobacter_showae,3.38145E-06,3.21691E-06,3.16989E-06,nosig,#EAEAEA
Campylobacter_rectus,1.90092E-06,2.8315E-06,2.20153E-06,nosig,#EAEAEA
Campylobacter_pinnipediorum,7.25378E-06,6.00351E-06,7.50983E-06,nosig,#EAEAEA
Campylobacter_upsaliensis,9.94916E-06,7.69437E-06,8.28885E-06,nosig,#EAEAEA
Campylobacter_hyointestinalis,5.65353E-06,3.38858E-06,4.69775E-06,nosig,#EAEAEA
Campylobacter_ureolyticus,1.06942E-05,8.33058E-06,1.37454E-05,nosig,#EAEAEA
Campylobacter_lari,1.23813E-05,1.20927E-05,1.45824E-05,nosig,#EAEAEA
Campylobacter_volucris,1.45745E-05,1.04575E-05,1.76337E-05,nosig,#EAEAEA
Campylobacter_sp__RM16192,1.51222E-06,1.32496E-06,6.38616E-07,nosig,#EAEAEA
Campylobacter_sp__CCUG_57310,8.54776E-07,5.43856E-07,3.81968E-07,nosig,#EAEAEA
Campylobacter_sp__RM16704,1.63401E-06,7.27822E-07,1.67322E-06,nosig,#EAEAEA
Campylobacter_sp__RM6914,1.27248E-06,1.71572E-06,1.12302E-06,nosig,#EAEAEA
Campylobacter_sp__RM6137,1.98207E-06,1.24165E-06,9.97074E-07,nosig,#EAEAEA
Campylobacter_sp__VBCF_01_NA2,3.2778E-06,2.68287E-06,2.26396E-06,nosig,#EAEAEA
Campylobacter_sp__RM12651,4.45155E-06,2.96543E-06,3.72426E-06,nosig,#EAEAEA
